iso3,country_name,region_lac,year,monetary_poverty,extreme_poverty,labor_informality,social_protection_coverage,gdp_per_capita,female_labor_participation,male_labor_participation,unemployment,gini,social_expenditure,structural_vulnerability_index
ARG,Argentina,Mercosur,2000,30.9,7.3,,,10631.6503639029,,,15.0,51.0,,0.3430447020575945
ARG,Argentina,Mercosur,2001,34.3,10.7,,,10051.9448463043,,,17.322,53.3,,0.6600337202842863
ARG,Argentina,Mercosur,2002,49.1,17.1,,,8861.56199282278,,,19.59,53.8,,1.0466924488375091
ARG,Argentina,Mercosur,2003,33.1,8.2,61.657,,9545.53194119994,,,15.4,51.0,,0.3551207947453118
ARG,Argentina,Mercosur,2004,28.6,6.0,60.403,,10302.4465316428,,,13.522,48.5,,0.0896412328090371
ARG,Argentina,Mercosur,2005,24.5,4.4,58.812,,11099.7509190602,,,11.506,47.8,,-0.1210990118201573
ARG,Argentina,Mercosur,2006,19.9,3.5,56.024,33.33583481559091,11870.2791559298,,,10.078,46.4,,-0.0385275595878297
ARG,Argentina,Mercosur,2007,18.9,2.8,53.73266666666667,,12811.9021206578,,,8.469,46.3,,-0.487839927342139
ARG,Argentina,Mercosur,2008,16.7,2.6,51.14,,13197.3570267029,,,7.837,45.0,,-0.6259352929496279
ARG,Argentina,Mercosur,2009,15.2,2.4,50.513,,12285.3784651865,,,8.645,43.8,,-0.6265199063940562
ARG,Argentina,Mercosur,2010,13.6,1.5,49.336,37.80100707933457,13387.1553748458,,,7.714,43.7,,-0.4049272255850278
ARG,Argentina,Mercosur,2011,11.3,1.2,48.498,42.13772658621863,14040.6189124444,,,7.18,42.7,,-0.533532453921275
ARG,Argentina,Mercosur,2012,10.3,1.3,48.474,41.05498993270294,13754.4254235596,,,7.217,41.4,,-0.5631993248293231
ARG,Argentina,Mercosur,2013,10.4,1.1,48.05,46.36080045147442,13946.0950832252,,,7.1,41.1,,-0.6319877479449733
ARG,Argentina,Mercosur,2014,11.7,1.1,47.444,44.69378723088137,13456.1319159151,,,7.268,41.8,,-0.5776760267309536
ARG,Argentina,Mercosur,2015,1.8,0.9,46.142,,13679.6264980954,,,,,,-1.228770413164719
ARG,Argentina,Mercosur,2016,11.5,1.3,47.775666666666666,52.273354344279,13265.8860639123,47.73333333333333,70.8,8.466666666666667,42.3,,-0.5723286939005289
ARG,Argentina,Mercosur,2017,9.8,1.1,48.563,52.829945242481045,13520.1129846159,48.0,70.9,8.35,41.4,,-0.6178026153151358
ARG,Argentina,Mercosur,2018,12.5,1.6,48.73,52.84679037072543,13058.3285449954,49.525,71.0,9.225,41.7,,-0.5394981712648215
ARG,Argentina,Mercosur,2019,14.9,1.7,49.918,54.26736791120207,12706.3978108968,50.3,71.425,9.85,43.3,,-0.4418475575212528
ARG,Argentina,Mercosur,2020,18.3,2.2,46.981,62.84839349126891,11393.0505957877,46.775,66.375,11.55,42.7,,-0.4399807520447327
ARG,Argentina,Mercosur,2021,14.2,1.4,49.142,54.62341212711929,12549.2811699342,50.5,71.15,8.75,42.4,,-0.5326883437821085
ARG,Argentina,Mercosur,2022,13.9,1.3,51.196,56.63320528058343,13276.8232110189,52.1,71.725,6.825,40.7,,-0.6828175796225411
ARG,Argentina,Mercosur,2023,16.4,1.2,50.445,,12993.0928872416,53.175,72.225,6.125,42.4,,-0.8186482358709875
BHS,Bahamas,Caribbean,2000,,,,,32424.7271786716,,,,,,-2.299352083958036
BHS,Bahamas,Caribbean,2001,,,,,32870.0918307285,,,6.883,,,-1.1832226953715883
BHS,Bahamas,Caribbean,2002,,,,,33374.602685914,,,9.096,,,-0.8838769971495226
BHS,Bahamas,Caribbean,2003,,,,,32559.311554898,,,10.835,,,-0.6267757626584705
BHS,Bahamas,Caribbean,2004,,,,,32444.0739567569,,,10.203,,,-0.7127438678415303
BHS,Bahamas,Caribbean,2005,,,,,33144.7878790275,,,10.17,,,-0.730077048876854
BHS,Bahamas,Caribbean,2006,,,,,33541.850748701,,,7.604,,,-1.0947942468592653
BHS,Bahamas,Caribbean,2007,,,,,33549.3360007274,,,7.853,,,-1.0602243894922545
BHS,Bahamas,Caribbean,2008,,,,,32331.8246135092,,,8.712,,,-0.9184773500131392
BHS,Bahamas,Caribbean,2009,,,,,30581.3342198488,,,14.2,,,-0.120449540716799
BHS,Bahamas,Caribbean,2010,,,,,30657.4319059659,,,,,,-2.232550887755559
BHS,Bahamas,Caribbean,2011,,,,,30492.6738528071,,,14.521,,,-0.0739818906519054
BHS,Bahamas,Caribbean,2012,,,,,31553.4919490645,,,14.7,,,-0.0694149725185666
