asset_id,asset_type,name,location,root,relative_path,top_folder,subfolder,extension,size_mb,modified,possible_role
A0017,script,PanelData_IDA_country-year+.R,sources/part_ii\13_WB - IDA_GFDR\PanelData_IDA_country-year+.R,sources/part_ii,13_WB - IDA_GFDR/PanelData_IDA_country-year+.R,13_WB - IDA_GFDR,PanelData_IDA_country-year+.R,.r,0.017,2026-06-16,existing_processing_script
A0018,script,PanelData_IDA_country-year.R,sources/part_ii\13_WB - IDA_GFDR\PanelData_IDA_country-year.R,sources/part_ii,13_WB - IDA_GFDR/PanelData_IDA_country-year.R,13_WB - IDA_GFDR,PanelData_IDA_country-year.R,.r,0.006,2026-06-11,existing_processing_script
A0029,documentation,CN-696_EI_Stat_Review_V1_DIGITAL_0908.pdf,sources/part_ii\14_Energy-Institute\Data_base\CN-696_EI_Stat_Review_V1_DIGITAL_0908.pdf,sources/part_ii,14_Energy-Institute/Data_base/CN-696_EI_Stat_Review_V1_DIGITAL_0908.pdf,14_Energy-Institute,Data_base,.pdf,5.013,2026-06-17,methodological_documentation
A0033,documentation,Definitions.pdf,sources/part_ii\14_Energy-Institute\Data_base\Definitions.pdf,sources/part_ii,14_Energy-Institute/Data_base/Definitions.pdf,14_Energy-Institute,Data_base,.pdf,0.066,2026-06-17,methodological_documentation
A0035,documentation,Methodology.pdf,sources/part_ii\14_Energy-Institute\Data_base\Methodology.pdf,sources/part_ii,14_Energy-Institute/Data_base/Methodology.pdf,14_Energy-Institute,Data_base,.pdf,0.184,2026-06-17,methodological_documentation
A0037,documentation,Statistical Review of World Energy.pdf,sources/part_ii\14_Energy-Institute\Data_base\Statistical Review of World Energy.pdf,sources/part_ii,14_Energy-Institute/Data_base/Statistical Review of World Energy.pdf,14_Energy-Institute,Data_base,.pdf,5.347,2026-06-17,methodological_documentation
A0038,documentation,Statistical-Review-of-World-Energy-2024.pdf,sources/part_ii\14_Energy-Institute\Data_base\Statistical-Review-of-World-Energy-2024.pdf,sources/part_ii,14_Energy-Institute/Data_base/Statistical-Review-of-World-Energy-2024.pdf,14_Energy-Institute,Data_base,.pdf,3.531,2026-06-17,methodological_documentation
A0078,script,PanelData_EnergyInstitute_country-year_CORREGIDO_v2.R,sources/part_ii\14_Energy-Institute\PanelData_EnergyInstitute_country-year_CORREGIDO_v2.R,sources/part_ii,14_Energy-Institute/PanelData_EnergyInstitute_country-year_CORREGIDO_v2.R,14_Energy-Institute,PanelData_EnergyInstitute_country-year_CORREGIDO_v2.R,.r,0.03,2026-06-17,existing_processing_script
A0097,script,PanelData_OWID_Energy_country-year.R,sources/part_ii\14_OurworldData\PanelData_OWID_Energy_country-year.R,sources/part_ii,14_OurworldData/PanelData_OWID_Energy_country-year.R,14_OurworldData,PanelData_OWID_Energy_country-year.R,.r,0.022,2026-06-17,existing_processing_script
A0100,documentation,README.md,sources/part_ii\14_OurworldData\raw_unzipped\energy-data-master\README.md,sources/part_ii,14_OurworldData/raw_unzipped/energy-data-master/README.md,14_OurworldData,raw_unzipped,.md,0.014,2026-06-17,methodological_documentation
A0102,documentation,Energy-Questionnaire-Guidelines.pdf,sources/part_ii\14_UNEnergy-Statistics\Data_bases\Energy-Questionnaire-Guidelines.pdf,sources/part_ii,14_UNEnergy-Statistics/Data_bases/Energy-Questionnaire-Guidelines.pdf,14_UNEnergy-Statistics,Data_bases,.pdf,0.472,2026-01-16,codebook_or_metadata
A0120,script,PanelData_SYB_Energy_country-year_CORREGIDO_v2+.R,sources/part_ii\14_UNEnergy-Statistics\PanelData_SYB_Energy_country-year_CORREGIDO_v2+.R,sources/part_ii,14_UNEnergy-Statistics/PanelData_SYB_Energy_country-year_CORREGIDO_v2+.R,14_UNEnergy-Statistics,PanelData_SYB_Energy_country-year_CORREGIDO_v2+.R,.r,0.023,2026-06-17,existing_processing_script
A0121,script,PanelData_UNEnergy_country-year.R,sources/part_ii\14_UNEnergy-Statistics\PanelData_UNEnergy_country-year.R,sources/part_ii,14_UNEnergy-Statistics/PanelData_UNEnergy_country-year.R,14_UNEnergy-Statistics,PanelData_UNEnergy_country-year.R,.r,0.018,2026-06-17,existing_processing_script
A0122,script,PanelData_UNEnergy_Statistics_country-year.R,sources/part_ii\14_UNEnergy-Statistics\PanelData_UNEnergy_Statistics_country-year.R,sources/part_ii,14_UNEnergy-Statistics/PanelData_UNEnergy_Statistics_country-year.R,14_UNEnergy-Statistics,PanelData_UNEnergy_Statistics_country-year.R,.r,0.021,2026-06-17,existing_processing_script
A0140,script,PanelData_SYB_Energy_country-year_UNEnergy_Statistics_2+.R,sources/part_ii\14_UNEnergy-Statistics_2\PanelData_SYB_Energy_country-year_UNEnergy_Statistics_2+.R,sources/part_ii,14_UNEnergy-Statistics_2/PanelData_SYB_Energy_country-year_UNEnergy_Statistics_2+.R,14_UNEnergy-Statistics_2,PanelData_SYB_Energy_country-year_UNEnergy_Statistics_2+.R,.r,0.027,2026-06-17,existing_processing_script
A0163,script,PanelData_YALE_country-year.R,sources/part_ii\15_Yale\PanelData_YALE_country-year.R,sources/part_ii,15_Yale/PanelData_YALE_country-year.R,15_Yale,PanelData_YALE_country-year.R,.r,0.011,2026-06-11,existing_processing_script
A0164,script,PanelData_Yale_EPI_country-row-year+.R,sources/part_ii\15_Yale\PanelData_Yale_EPI_country-row-year+.R,sources/part_ii,15_Yale/PanelData_Yale_EPI_country-row-year+.R,15_Yale,PanelData_Yale_EPI_country-row-year+.R,.r,0.016,2026-06-17,existing_processing_script
A0165,script,PanelData_Yale_EPI_country-year+.R,sources/part_ii\15_Yale\PanelData_Yale_EPI_country-year+.R,sources/part_ii,15_Yale/PanelData_Yale_EPI_country-year+.R,15_Yale,PanelData_Yale_EPI_country-year+.R,.r,0.018,2026-06-17,existing_processing_script
A0782,script,PanelData_DoingBussiness_country-year+.R,sources/part_ii\16_WB - Doing Bussiness\PanelData_DoingBussiness_country-year+.R,sources/part_ii,16_WB - Doing Bussiness/PanelData_DoingBussiness_country-year+.R,16_WB - Doing Bussiness,PanelData_DoingBussiness_country-year+.R,.r,0.029,2026-06-17,existing_processing_script
A0783,script,PanelData_DoingBussiness_country-year.R,sources/part_ii\16_WB - Doing Bussiness\PanelData_DoingBussiness_country-year.R,sources/part_ii,16_WB - Doing Bussiness/PanelData_DoingBussiness_country-year.R,16_WB - Doing Bussiness,PanelData_DoingBussiness_country-year.R,.r,0.005,2026-06-11,existing_processing_script
A0793,script,PanelData_BIS_LBS_country-year_CORREGIDO_comillas.R,sources/part_ii\17_BIS\PanelData_BIS_LBS_country-year_CORREGIDO_comillas.R,sources/part_ii,17_BIS/PanelData_BIS_LBS_country-year_CORREGIDO_comillas.R,17_BIS,PanelData_BIS_LBS_country-year_CORREGIDO_comillas.R,.r,0.021,2026-06-18,existing_processing_script
A0804,script,PanelData_OPEC_country-year+.R,sources/part_ii\18_OPECstatistics\PanelData_OPEC_country-year+.R,sources/part_ii,18_OPECstatistics/PanelData_OPEC_country-year+.R,18_OPECstatistics,PanelData_OPEC_country-year+.R,.r,0.018,2026-06-15,existing_processing_script
A0805,script,PanelData_OPEC_country-year.R,sources/part_ii\18_OPECstatistics\PanelData_OPEC_country-year.R,sources/part_ii,18_OPECstatistics/PanelData_OPEC_country-year.R,18_OPECstatistics,PanelData_OPEC_country-year.R,.r,0.006,2026-06-13,existing_processing_script
A0852,documentation,F00002245-Latinobarometro_Libro_de_codigos_Chile_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002245-Latinobarometro_Libro_de_codigos_Chile_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002245-Latinobarometro_Libro_de_codigos_Chile_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.505,2026-06-14,methodological_documentation
A0853,documentation,F00002246-Latinobarometro_Codebook_Chile_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002246-Latinobarometro_Codebook_Chile_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002246-Latinobarometro_Codebook_Chile_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.503,2026-06-14,codebook_or_metadata
A0854,documentation,F00002247-Latinobarometro_Libro_de_codigos_argentina_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002247-Latinobarometro_Libro_de_codigos_argentina_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002247-Latinobarometro_Libro_de_codigos_argentina_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.553,2026-06-14,methodological_documentation
A0855,documentation,F00002248-Latinobarometro_Codebook_argentina_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002248-Latinobarometro_Codebook_argentina_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002248-Latinobarometro_Codebook_argentina_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.559,2026-06-14,codebook_or_metadata
A0856,documentation,F00002249-Latinobarometro_Libro_de_codigos_Mexico_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002249-Latinobarometro_Libro_de_codigos_Mexico_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002249-Latinobarometro_Libro_de_codigos_Mexico_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.553,2026-06-14,methodological_documentation
A0857,documentation,F00002250-Latinobarometro_Codebook_Mexico_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002250-Latinobarometro_Codebook_Mexico_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002250-Latinobarometro_Codebook_Mexico_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.561,2026-06-14,codebook_or_metadata
A0858,documentation,F00002251-Latinobarometro_Libro_de_codigos_Paraguay_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002251-Latinobarometro_Libro_de_codigos_Paraguay_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002251-Latinobarometro_Libro_de_codigos_Paraguay_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.524,2026-06-14,methodological_documentation
A0859,documentation,F00002252-Latinobarometro_Codebook_Paraguay_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002252-Latinobarometro_Codebook_Paraguay_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002252-Latinobarometro_Codebook_Paraguay_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.529,2026-06-14,codebook_or_metadata
A0860,documentation,F00002253-Latinobarometro_Libro_de_codigos_Peru_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002253-Latinobarometro_Libro_de_codigos_Peru_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002253-Latinobarometro_Libro_de_codigos_Peru_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.502,2026-06-14,methodological_documentation
A0861,documentation,F00002254-Latinobarometro_Codebook_Peru_1995.pdf,sources/part_ii\19_Latinobarometro\Data_base\1995\F00002254-Latinobarometro_Codebook_Peru_1995.pdf,sources/part_ii,19_Latinobarometro/Data_base/1995/F00002254-Latinobarometro_Codebook_Peru_1995.pdf,19_Latinobarometro,Data_base,.pdf,3.501,2026-06-14,codebook_or_metadata
