year,countries,poverty_obs,informality_obs,social_protection_obs
1946,1,0,0,0
1950,3,0,0,0
1951,1,0,0,0
1952,1,0,0,0
1953,1,0,0,0
1960,27,0,0,0
1961,27,0,0,0
1962,27,0,0,0
1963,27,0,0,0
1964,27,0,0,0
1965,27,0,0,0
1966,27,0,0,0
1967,27,0,0,0
1968,27,0,0,0
1969,27,0,0,0
1970,27,0,0,0
1971,27,0,0,0
1972,27,0,0,0
1973,27,0,0,0
1974,27,0,0,0
1975,27,0,0,0
1976,27,0,0,0
1977,27,0,0,0
1978,27,0,0,0
1979,27,1,0,0
1980,27,2,0,0
1981,27,4,0,0
1982,27,1,0,0
1983,27,1,0,0
1984,27,2,0,0
1985,27,2,0,0
1986,27,5,0,0
1987,27,5,0,0
1988,27,4,0,0
1989,27,11,0,0
1990,27,7,0,0
1991,27,6,0,0
1992,27,13,0,0
1993,27,7,0,0
1994,27,8,0,0
1995,27,11,1,0
1996,27,12,1,0
1997,27,11,2,0
1998,27,16,1,0
1999,27,15,2,0
2000,27,17,3,0
2001,27,19,3,0
2002,27,19,5,1
2003,27,18,7,0
2004,27,19,7,0
2005,27,18,5,1
2006,27,18,10,6
2007,27,17,10,4
2008,27,17,11,11
2009,27,17,12,13
2010,27,17,13,13
2011,27,17,15,15
2012,27,18,17,14
2013,27,17,15,7
2014,27,17,16,13
2015,27,17,16,13
2016,27,18,19,14
2017,27,17,19,15
2018,27,19,17,14
2019,27,17,18,13
2020,27,17,16,11
2021,27,18,17,12
2022,27,18,15,11
2023,27,17,16,1
2024,27,17,16,0
2025,27,2,12,0
