"iso3","country","year","variable","raw_value","wdi_comparable_range","decision","poverty_current_excluded","poverty_lag1_excluded","lag_exclusion_reason"
"ARG","Argentina","2015","extreme_poverty","0.9","1.1-2.2 (nearby +/-5 years, n=10)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"ARG","Argentina","2015","monetary_poverty","1.8","9.8-18.3 (nearby +/-5 years, n=10)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"BOL","Bolivia","2003","extreme_poverty","2.8","10.6-28.3 (nearby +/-5 years, n=9)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"BOL","Bolivia","2003","monetary_poverty","2","36.6-58.8 (nearby +/-5 years, n=9)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"BOL","Bolivia","2010","extreme_poverty","2.1","5.6-18.7 (nearby +/-5 years, n=10)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"BOL","Bolivia","2010","monetary_poverty","1.5","22.6-49.5 (nearby +/-5 years, n=10)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"BRA","Brazil","2000","extreme_poverty","38.2","13.7-20.7 (nearby +/-5 years, n=10)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"BRA","Brazil","2000","monetary_poverty","36.7","47.5-55.8 (nearby +/-5 years, n=10)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"BRA","Brazil","2010","extreme_poverty","35","4.8-13.7 (nearby +/-5 years, n=10)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"BRA","Brazil","2010","monetary_poverty","33.4","26.4-47.5 (nearby +/-5 years, n=10)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2001","extreme_poverty","1.2","3.3-8.6 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2001","monetary_poverty","2.9","32-44.6 (nearby +/-5 years, n=5)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"CHL","Chile","2002","extreme_poverty","1.3","3.3-8.6 (nearby +/-5 years, n=4)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2002","monetary_poverty","2.9","32-44.5 (nearby +/-5 years, n=4)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"CHL","Chile","2004","extreme_poverty","1.1","2.6-8.6 (nearby +/-5 years, n=4)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2004","monetary_poverty","2.6","27.6-44.5 (nearby +/-5 years, n=4)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"CHL","Chile","2005","extreme_poverty","1","2.6-8.6 (nearby +/-5 years, n=4)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2005","monetary_poverty","2.5","27.6-44.5 (nearby +/-5 years, n=4)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"CHL","Chile","2007","extreme_poverty","0.9","1.7-7.9 (nearby +/-5 years, n=4)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2007","monetary_poverty","2.2","23.5-43.2 (nearby +/-5 years, n=4)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"CHL","Chile","2008","extreme_poverty","0.9","0.8-7.9 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2008","monetary_poverty","2.2","14.4-43.2 (nearby +/-5 years, n=5)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"CHL","Chile","2010","extreme_poverty","0.8","0.7-3.3 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2010","monetary_poverty","2.2","11.7-32 (nearby +/-5 years, n=5)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"CHL","Chile","2012","extreme_poverty","0.5","0.5-2.6 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2012","monetary_poverty","1.8","9-27.6 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2014","extreme_poverty","0.4","0.5-2.6 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2014","monetary_poverty","1.3","9-27.6 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2016","extreme_poverty","0.3","0.5-1.7 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2016","monetary_poverty","1.1","9-23.5 (nearby +/-5 years, n=5)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"CHL","Chile","2018","extreme_poverty","0.3","0.5-1.7 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2018","monetary_poverty","0.9","6.1-14.4 (nearby +/-5 years, n=5)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"CHL","Chile","2019","extreme_poverty","0.3","0.4-1.7 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"CHL","Chile","2019","monetary_poverty","0.9","4.5-11.7 (nearby +/-5 years, n=5)","retain: Equity Lab fallback within nearby WDI range","False","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
