"variable","model","inference","estimate","std_error","p_value","ci_low","ci_high","n_obs","n_countries","source"
"Social insurance","baseline","Cluster","-0.387119077042746","0.1379043204081","0.0132667282197946","-0.657411545042623","-0.11682660904287","177","16","mechanism_robustness_twfe_comparison.csv"
"Social insurance","baseline","Driscoll-Kraay","-0.387119077042746","0.0231996327043035","5.30295715587559E-35","-0.432590357143181","-0.341647796942312","177","16","mechanism_robustness_twfe_comparison.csv"
"Social insurance","baseline","Wild bootstrap","-0.387119077042746","0.125821132382886","0.015","-0.633728496513203","-0.14050965757229","177","16","mechanism_robustness_twfe_comparison.csv"
"All social protection","baseline","Cluster","-0.102373031144878","0.0395751095212652","0.0206337030068804","-0.179940245806558","-0.0248058164831983","","","phase2_twfe_inference_comparison.csv"
"All social protection","baseline","Driscoll-Kraay","-0.102373031144878","0.0141602489084505","2.94460387878618E-11","-0.130127119005441","-0.0746189432843152","","","phase2_twfe_inference_comparison.csv"
"All social protection","baseline","Wild bootstrap","-0.102373031144878","0.0313120812106025","0.001","-0.163744710317659","-0.0410013519720971","","","phase2_twfe_inference_comparison.csv"
"Social insurance","interaction","Cluster","-0.0978613777501682","0.218793753582803","0.66106625811407","-0.526697134772462","0.330974379272125","177","16","mechanism_robustness_twfe_comparison.csv"
"Social insurance","interaction","Driscoll-Kraay","-0.0978613777501682","0.146011204390039","0.503829960783138","-0.384043338354644","0.188320582854308","177","16","mechanism_robustness_twfe_comparison.csv"
"Social insurance","interaction","Wild bootstrap","-0.0978613777501682","0.169153839432189","0.598","-0.429402903037259","0.233680147536923","177","16","mechanism_robustness_twfe_comparison.csv"
"Social assistance","baseline","Cluster","-0.0838471216217765","0.0353881977146833","0.0316629689213104","-0.153207989142556","-0.0144862541009971","178","17","mechanism_robustness_twfe_comparison.csv"
"Social assistance","baseline","Driscoll-Kraay","-0.0838471216217765","0.0112195481218731","7.92379412441381E-12","-0.105837435940648","-0.0618568073029053","178","17","mechanism_robustness_twfe_comparison.csv"
"Social assistance","baseline","Wild bootstrap","-0.0838471216217765","0.0270918182009161","0.001","-0.136947085295572","-0.0307471579479809","178","17","mechanism_robustness_twfe_comparison.csv"
"All social protection","interaction","Cluster","0.0229673675738193","0.102636180453605","0.825951905611818","-0.178199546115247","0.224134281262886","","","phase2_twfe_inference_comparison.csv"
"All social protection","interaction","Driscoll-Kraay","0.0229673675738193","0.0499597176216413","0.646442271982862","-0.0749536789645976","0.120888414112236","","","phase2_twfe_inference_comparison.csv"
"All social protection","interaction","Wild bootstrap","0.0229673675738193","0.0854333011622575","0.917","-0.144481902704205","0.190416637851844","","","phase2_twfe_inference_comparison.csv"
"Social assistance","interaction","Cluster","0.0242113722637982","0.0856286255580047","0.781234040601476","-0.143620733829891","0.192043478357487","178","17","mechanism_robustness_twfe_comparison.csv"
"Social assistance","interaction","Driscoll-Kraay","0.0242113722637982","0.0575598595499326","0.674679976311142","-0.0886059524540696","0.137028696981666","178","17","mechanism_robustness_twfe_comparison.csv"
"Social assistance","interaction","Wild bootstrap","0.0242113722637982","0.0666162900897332","0.998","-0.106356556312079","0.154779300839675","178","17","mechanism_robustness_twfe_comparison.csv"
