"year","monetary_poverty_raw","extreme_poverty_raw","poverty_lag1_raw","monetary_poverty","extreme_poverty","poverty_lag1","poverty_source","monetary_poverty_current_excluded","extreme_poverty_current_excluded","poverty_lag1_excluded","monetary_exclusion_reason","extreme_exclusion_reason","lag_exclusion_reason","social_assistance_coverage_aspire"
"2000","58.8","28.3","52.5","58.8","28.3","52.5","WDI","False","False","False","","","",
"2001","54.2","22.3","58.8","54.2","22.3","58.8","WDI","False","False","False","","","",
"2002","56.4","23.9","54.2","56.4","23.9","54.2","WDI","False","False","False","","","",
"2003","2","2.8","56.4",,,"56.4","Equity Lab fallback","True","True","False","exclude: Equity Lab fallback incompatible with WDI-scale country series","exclude: Equity Lab fallback incompatible with WDI-scale country series","",
"2004","49.3","13.2","2","49.3","13.2",,"WDI","False","False","True","","","Lagged poverty is derived from an excluded monetary_poverty fallback year.",
"2005","49.5","18.7","49.3","49.5","18.7","49.3","WDI","False","False","False","","","",
"2006","44.6","15.9","49.5","44.6","15.9","49.5","WDI","False","False","False","","","","11.6657511523303"
"2007","42.7","12.1","44.6","42.7","12.1","44.6","WDI","False","False","False","","","","54.5885140249058"
"2008","36.6","10.6","42.7","36.6","10.6","42.7","WDI","False","False","False","","","","71.4228854323372"
"2009","31.9","10","36.6","31.9","10","36.6","WDI","False","False","False","","","","77.9402584788398"
"2010","1.5","2.1","31.9",,"2.1","31.9","Equity Lab fallback","True","False","False","exclude: Equity Lab fallback incompatible with WDI-scale country series","","",
"2011","25.3","6.9","1.5","25.3","6.9",,"WDI","False","False","True","","","Lagged poverty is derived from an excluded monetary_poverty fallback year.","74.7325146977656"
"2012","25.9","7.9","25.3","25.9","7.9","25.3","WDI","False","False","False","","","","75.1825403357811"
