section,country,iso3,event_label,event_year,outcome,relative_year,estimate,std.error,statistic,p.value,n_obs,n_countries,treated_relative_years,note
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,monetary_poverty,-3,1.2301610984076479,0.989029369833328,1.2438064388471655,0.23148620317994267,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,monetary_poverty,-2,-0.093365138134908765,1.349083186570656,-0.06920636107862346,0.9456829174197555,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,monetary_poverty,0,-0.06583324291244885,0.8703052459774352,-0.0756438539428909,0.9406402008056367,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,monetary_poverty,1,0.21889796610668255,1.3544603339256243,0.16161268117188185,0.8736340566426564,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,monetary_poverty,2,-1.4524960641716032,1.6951307508518307,-0.8568637336333497,0.4041718745723001,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,monetary_poverty,3,-2.4922208461486735,2.3310860058560263,-1.0691243651619258,0.30087855977282096,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,monetary_poverty,4,-2.1579483554963943,2.0373057855992394,-1.0592167217851738,0.305230489047787,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,extreme_poverty,-3,0.2893022929704727,1.1349138244424624,0.2549112423690806,0.8020392032416019,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,extreme_poverty,-2,-0.7534139909601343,1.0328236441670782,-0.7294701232055216,0.4762584197501629,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,extreme_poverty,0,0.13108340442502275,0.743294371416977,0.17635463077048774,0.8622282216925141,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,extreme_poverty,1,-0.13678985452008074,0.8713472838530033,-0.15698660804359293,0.8772193156049028,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,extreme_poverty,2,-1.1504516759559933,1.0150009872916215,-1.1334488245433156,0.27372449811999194,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,extreme_poverty,3,0.09782800175521067,1.612121999146966,0.06068275341877049,0.9523633974797638,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
secondary poverty-only extension,Brazil,BRA,Bolsa Familia,2004,extreme_poverty,4,-0.5356763904420849,1.4150590142947646,-0.3785540991794287,0.7099949190554157,109,17,"-3, -2, -1, 0, 1, 2, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
