iso3,country,event_year,event_label,year,relative_year,required_complete,social_protection_available,monetary_poverty_available,extreme_poverty_available,labor_informality_available
BOL,Bolivia,2008,Renta Dignidad,2004,-4,TRUE,FALSE,TRUE,TRUE,TRUE
BOL,Bolivia,2008,Renta Dignidad,2005,-3,TRUE,FALSE,TRUE,TRUE,TRUE
BOL,Bolivia,2008,Renta Dignidad,2006,-2,TRUE,TRUE,TRUE,TRUE,TRUE
BOL,Bolivia,2008,Renta Dignidad,2007,-1,TRUE,TRUE,TRUE,TRUE,TRUE
BOL,Bolivia,2008,Renta Dignidad,2008,0,TRUE,TRUE,TRUE,TRUE,TRUE
BOL,Bolivia,2008,Renta Dignidad,2009,1,TRUE,TRUE,TRUE,TRUE,TRUE
BOL,Bolivia,2008,Renta Dignidad,2010,2,FALSE,FALSE,TRUE,TRUE,FALSE
BOL,Bolivia,2008,Renta Dignidad,2011,3,TRUE,TRUE,TRUE,TRUE,TRUE
BOL,Bolivia,2008,Renta Dignidad,2012,4,TRUE,TRUE,TRUE,TRUE,TRUE
PER,Peru,2005,JUNTOS,2001,-4,FALSE,FALSE,TRUE,TRUE,FALSE
PER,Peru,2005,JUNTOS,2002,-3,TRUE,FALSE,TRUE,TRUE,TRUE
PER,Peru,2005,JUNTOS,2003,-2,TRUE,FALSE,TRUE,TRUE,TRUE
PER,Peru,2005,JUNTOS,2004,-1,TRUE,FALSE,TRUE,TRUE,TRUE
PER,Peru,2005,JUNTOS,2005,0,TRUE,FALSE,TRUE,TRUE,TRUE
PER,Peru,2005,JUNTOS,2006,1,TRUE,FALSE,TRUE,TRUE,TRUE
PER,Peru,2005,JUNTOS,2007,2,TRUE,FALSE,TRUE,TRUE,TRUE
PER,Peru,2005,JUNTOS,2008,3,TRUE,TRUE,TRUE,TRUE,TRUE
PER,Peru,2005,JUNTOS,2009,4,TRUE,TRUE,TRUE,TRUE,TRUE
BRA,Brazil,2004,Bolsa Familia,2000,-4,TRUE,FALSE,TRUE,TRUE,FALSE
BRA,Brazil,2004,Bolsa Familia,2001,-3,TRUE,FALSE,TRUE,TRUE,FALSE
BRA,Brazil,2004,Bolsa Familia,2002,-2,TRUE,FALSE,TRUE,TRUE,FALSE
BRA,Brazil,2004,Bolsa Familia,2003,-1,TRUE,FALSE,TRUE,TRUE,FALSE
BRA,Brazil,2004,Bolsa Familia,2004,0,TRUE,FALSE,TRUE,TRUE,FALSE
BRA,Brazil,2004,Bolsa Familia,2005,1,TRUE,FALSE,TRUE,TRUE,FALSE
BRA,Brazil,2004,Bolsa Familia,2006,2,TRUE,TRUE,TRUE,TRUE,FALSE
BRA,Brazil,2004,Bolsa Familia,2007,3,TRUE,FALSE,TRUE,TRUE,FALSE
BRA,Brazil,2004,Bolsa Familia,2008,4,TRUE,FALSE,TRUE,TRUE,FALSE
