model,n_obs,r_squared,clusters,dk_lag,term,estimate,cluster_std.error,statistic,cluster_p.value,wild_bootstrap_reps,wild_bootstrap_valid_reps,wild_bootstrap_std.error,wild_bootstrap_p.value,dk_std.error,dk_p.value
Pooled OLS,178,0.6945875336640636,17,2,labor_informality,0.24115039217228368,0.1614026415407751,1.4940919793519112,0.13698384815538753,999,999,0.1549871592864281,0.129,0.07197324871346118,9.913445404646237e-4
Pooled OLS,178,0.6945875336640636,17,2,social_protection_coverage,-0.21665013498682298,0.10090594859388635,-2.1470501789618903,0.03318991231380396,999,999,0.09865827054509937,0.01,0.03012810909559151,1.888716925735348e-11
Pooled OLS,178,0.6945875336640636,17,2,log_gdp_per_capita,-10.44896317881364,5.5613453298106865,-1.8788553055325792,0.061956034265752066,999,999,5.3711249686260985,0.051,1.8580102749696539,7.429984026031057e-8
Pooled OLS,178,0.6945875336640636,17,2,gini,0.5022589677288982,0.36446117733443717,1.3780863339197715,0.16996674520083233,999,999,0.3552367555329422,0.165,0.12320963448129343,6.976136931309505e-5
Pooled OLS,178,0.6945875336640636,17,2,unemployment,0.15883408767121268,0.39461523207696225,0.40250369159656535,0.6878131632933151,999,999,0.39887493806506036,0.726,0.2694791245910114,0.5563586793110784
Random effects,178,0.7834683027619851,17,2,labor_informality,0.07586676242067901,0.06948685169975906,1.0918146464382423,0.2764415691806564,999,999,0.05062056060492162,0.455,0.04005605580772722,0.05990159086664662
Random effects,178,0.7834683027619851,17,2,social_protection_coverage,-0.08338840888670254,0.033772736192053,-2.4691043216783988,0.014521769866338895,999,999,0.024955461640451072,0.001,0.019409628788743454,2.8997291018126003e-5
Random effects,178,0.7834683027619851,17,2,log_gdp_per_capita,-25.96232363409569,3.6263212794673265,-7.15941077286713,2.255496052658245e-11,999,999,1.546749679671703,0.001,2.5736367259709985,4.319612822660671e-19
Random effects,178,0.7834683027619851,17,2,gini,0.7989095736081411,0.18906350395402824,4.225614975391549,3.858783502400132e-5,999,999,0.14728585081033613,0.001,0.12484108247922386,1.4280999186378988e-9
Random effects,178,0.7834683027619851,17,2,unemployment,0.4312183917187438,0.18373639824457622,2.3469404856012144,0.020066778301319137,999,999,0.14004118022881795,0.042,0.0591490647887538,1.0770701080589643e-11
Country FE,178,0.7787850139167269,17,2,labor_informality,0.0939698420172706,0.07266944133396573,1.2931135879442774,0.19788345682421576,999,999,0.07112989567933956,0.197,0.022789047318463325,6.04842521921992e-5
Country FE,178,0.7787850139167269,17,2,social_protection_coverage,-0.07454610338997028,0.03140316057659453,-2.373840786125558,0.01882104150344913,999,999,0.03122287731223099,0.008,0.01390007612476773,2.902263527122215e-7
Country FE,178,0.7787850139167269,17,2,log_gdp_per_capita,-30.356519315372385,5.108014031799125,-5.9429201107108804,1.7655135580911244e-8,999,999,5.1736935524102945,0.001,3.0809331881227107,4.1471717293971095e-18
Country FE,178,0.7787850139167269,17,2,gini,0.6896726850378228,0.24083411062016152,2.863683567339678,0.00476394862100901,999,999,0.24477125742239866,0.001,0.13671419810341318,1.2495147310723883e-6
Country FE,178,0.7787850139167269,17,2,unemployment,0.4278560166527494,0.2019315544520906,2.118817030917576,0.03568967162113043,999,999,0.1967762858907039,0.022,0.058577183239772825,1.3470990627900194e-11
TWFE,178,0.5357350083249698,17,2,labor_informality,0.08880569423128865,0.0797878134555812,NA,0.2832176839485752,999,999,0.05333264432995945,0.111,0.01930401196579988,9.401571488233132e-6
TWFE,178,0.5357350083249698,17,2,social_protection_coverage,-0.10237303114487811,0.03957510952126523,NA,0.020633703006880354,999,999,0.03131208121060255,0.001,0.014160248908450463,2.944603878786182e-11
TWFE,178,0.5357350083249698,17,2,log_gdp_per_capita,-25.968249696013427,8.574077449834371,NA,0.008463272603263964,999,999,7.838241722232312,0.001,2.7947187719654236,2.8215253546320566e-16
TWFE,178,0.5357350083249698,17,2,gini,0.5083426641449518,0.19050735508529756,NA,0.017535559269542696,999,999,0.16521628253497386,0.43,0.1202723418012363,4.27277448908071e-5
TWFE,178,0.5357350083249698,17,2,unemployment,0.893497778049635,0.27441091080933705,NA,0.005316894142005345,999,999,0.2873930818882289,0.229,0.14212262830959901,3.921514081067215e-9
TWFE + interaction,178,0.5418375694860175,17,2,labor_informality,0.21833910971725645,0.12506278023761594,NA,0.10128169789050365,999,999,0.09443465085972359,0.179,0.05260564296008472,5.774873466393304e-5
TWFE + interaction,178,0.5418375694860175,17,2,social_protection_coverage,0.02296736757381934,0.1026361804536054,NA,0.8259519056118182,999,999,0.08543330116225752,0.917,0.04995971762164128,0.646442271982862
TWFE + interaction,178,0.5418375694860175,17,2,log_gdp_per_capita,-25.374570225898204,8.553300041487862,NA,0.009602990939872337,999,999,7.66356424789149,0.001,2.7912275707651073,9.471841888576071e-16
TWFE + interaction,178,0.5418375694860175,17,2,gini,0.49609400705366613,0.19115887834188613,NA,0.02029225148474058,999,999,0.15823120395150672,0.462,0.13155091499344965,2.402538949576195e-4
TWFE + interaction,178,0.5418375694860175,17,2,unemployment,0.8687171954612484,0.258142912342208,NA,0.004250211250724598,999,999,0.29031171587374827,0.283,0.13829619656183045,4.087746487006333e-9
TWFE + interaction,178,0.5418375694860175,17,2,labor_informality:social_protection_coverage,-0.0018899264685494216,0.0015154146164086469,NA,0.23146993273719824,999,999,0.0011241103127231388,0.547,8.467144381327362e-4,0.027222167300122706
