sample,sample_observations,countries,variable,n,mean,sd,min,max
Full harmonized panel,1789,27,Monetary poverty,586,35.90819112627986,21.839918783019282,0.5,93.6
Full harmonized panel,1789,27,Extreme poverty,586,10.77901023890785,10.143888887095576,0,75.1
Full harmonized panel,1789,27,Labor informality,337,60.59475222551929,16.926674615559342,18.324666666666666,99.133
Full harmonized panel,1789,27,Social protection coverage,202,60.12056153690983,18.219786259745288,14.523409268338256,97.98707902544464
Full harmonized panel,1789,27,Log GDP per capita,1734,8.457520089944916,0.8390000464671735,5.192365091444621,10.433180166579165
Full harmonized panel,1789,27,Gini index,506,48.920174571805006,5.775697031665317,34.1,63.2
Full harmonized panel,1789,27,Unemployment,550,7.065370909090909,3.5876031336095053,1.583,25.438
Analytic TWFE sample,178,17,Monetary poverty,178,29.943258426966292,13.927166662446911,4.5,88.2
Analytic TWFE sample,178,17,Extreme poverty,178,6.052808988764045,5.306910320492448,0.1,40.4
Analytic TWFE sample,178,17,Labor informality,178,58.54349531835206,16.295731579546437,21.433666666666667,96.148
Analytic TWFE sample,178,17,Social protection coverage,178,60.81571929910464,17.938377645309107,15.238191905000914,97.98707902544464
Analytic TWFE sample,178,17,Log GDP per capita,178,8.86666974704409,0.5811709127930019,7.2114721992944,9.810733674048398
Analytic TWFE sample,178,17,Gini index,178,46.76573033707865,4.369592512938816,38,56.7
Analytic TWFE sample,178,17,Unemployment,178,6.580494382022472,3.052174448908868,1.902,19.625
