"block","coefficient","estimate","cluster_p","wild_p","dk_p","significant_methods","robustness"
"TWFE principal","Labor informality","0.0888056942312886","0.283217683948575","0.111","9.40157148823313E-06","1","Amber: 1-2 methods"
"TWFE principal","Social protection coverage","-0.102373031144878","0.0206337030068804","0.001","2.94460387878618E-11","3","Green: 3/3 methods"
"TWFE interaction","Labor informality","0.218339109717256","0.101281697890504","0.179","5.7748734663933E-05","1","Amber: 1-2 methods"
"TWFE interaction","Social protection coverage","0.0229673675738193","0.825951905611818","0.917","0.646442271982862","0","Red: 0 methods"
"TWFE interaction","Informality x social protection","-0.00188992646854942","0.231469932737198","0.547","0.0272221673001227","1","Amber: 1-2 methods"
"Component separate baseline","Social assistance coverage","-0.0838471216217765","0.0316629689213104","0.001","7.92379412441381E-12","3","Green: 3/3 methods"
"Component separate interaction","Social assistance coverage","0.0242113722637982","0.781234040601476","0.998","0.674679976311142","0","Red: 0 methods"
"Component separate interaction","Informality x social assistance","-0.00169154438672453","0.221645463329911","0.954","0.0825781362722062","0","Red: 0 methods"
"Component separate baseline","Social insurance coverage","-0.387119077042746","0.0132667282197946","0.015","5.30295715587559E-35","3","Green: 3/3 methods"
"Component separate interaction","Social insurance coverage","-0.0978613777501682","0.66106625811407","0.598","0.503829960783138","0","Red: 0 methods"
"Component separate interaction","Informality x social insurance","-0.0063263961704365","0.13932688394559","0.098","0.0349399109232232","1","Amber: 1-2 methods"
"Component joint interaction","Social assistance coverage","0.0686491437036072","0.502478985679672","0.801","0.121122303576898","0","Red: 0 methods"
"Component joint interaction","Social insurance coverage","-0.24548506936502","0.162861734304272","0.143","0.0283693064139662","1","Amber: 1-2 methods"
"Component joint interaction","Labor informality x social assistance","-0.00252860175754501","0.10779627357835","0.329","0.000348030248548141","1","Amber: 1-2 methods"
"Component joint interaction","Labor informality x social insurance","-0.00530672523525885","0.173875844741723","0.103","0.024300092191773","1","Amber: 1-2 methods"
