variable,count,mean,std,min,25%,median,75%,max
monetary_poverty,423.0,30.797,19.805,0.5,15.8,29.7,46.3,93.6
extreme_poverty,423.0,8.508,8.427,0.1,2.2,6.1,12.25,75.1
labor_informality,302.0,60.73,16.917,18.325,48.904,60.322,74.222,98.413
social_protection_coverage,202.0,60.121,18.22,14.523,46.424,63.058,74.406,97.987
female_labor_participation,87.0,51.986,6.465,42.275,47.354,50.825,56.062,72.775
male_labor_participation,87.0,75.775,4.398,66.375,71.788,76.275,78.1,85.025
unemployment,521.0,7.138,3.632,1.583,4.311,6.6,9.225,25.438
youth_unemployment,87.0,17.101,8.315,5.35,9.938,16.125,23.15,42.45
employment,481.0,55.578,6.42,36.339,51.661,54.22,58.425,73.706
gdp_per_capita,648.0,8385.307,6711.018,1219.119,3997.6,6181.389,10298.263,33549.336
gini,351.0,48.124,5.239,34.1,44.6,48.3,52.0,61.6
social_expenditure,146.0,6.282,3.694,0.852,3.751,5.55,7.982,20.879
education_expenditure,146.0,5.433,2.509,2.71,3.523,4.656,6.858,14.176
health_expenditure,146.0,4.353,2.47,1.326,2.33,4.285,5.212,12.223
structural_vulnerability_index,648.0,-0.164,0.708,-2.299,-0.549,-0.234,0.233,3.316
