"year","analysis_sample"
"1946","0"
"1950","0"
"1951","0"
"1952","0"
"1953","0"
"1960","0"
"1961","0"
"1962","0"
"1963","0"
"1964","0"
"1965","0"
"1966","0"
"1967","0"
"1968","0"
"1969","0"
"1970","0"
"1971","0"
"1972","0"
"1973","0"
"1974","0"
"1975","0"
"1976","0"
"1977","0"
"1978","0"
"1979","0"
"1980","0"
"1981","0"
"1982","0"
"1983","0"
"1984","0"
"1985","0"
"1986","0"
"1987","0"
"1988","0"
"1989","0"
"1990","0"
"1991","0"
"1992","0"
"1993","0"
"1994","0"
"1995","0"
"1996","0"
"1997","0"
"1998","0"
"1999","0"
"2000","1"
"2001","1"
"2002","1"
"2003","1"
"2004","1"
"2005","1"
"2006","1"
"2007","1"
"2008","1"
"2009","1"
"2010","1"
"2011","1"
"2012","1"
"2013","1"
"2014","1"
"2015","1"
"2016","1"
"2017","1"
"2018","1"
"2019","1"
"2020","1"
"2021","1"
"2022","1"
"2023","1"
"2024","0"
"2025","0"
