"iso3","year","labor_informality","labor_informality_lag1","informality_x_social_protection"
"ARG","1960","","",""
"ARG","1961","","",""
"ARG","1962","","",""
"ARG","1963","","",""
"ARG","1964","","",""
"ARG","1965","","",""
"ARG","1966","","",""
"ARG","1967","","",""
"ARG","1968","","",""
"ARG","1969","","",""
"ARG","1970","","",""
"ARG","1971","","",""
"ARG","1972","","",""
"ARG","1973","","",""
"ARG","1974","","",""
"ARG","1975","","",""
"ARG","1976","","",""
"ARG","1977","","",""
"ARG","1978","","",""
"ARG","1979","","",""
"ARG","1980","","",""
"ARG","1981","","",""
"ARG","1982","","",""
"ARG","1983","","",""
"ARG","1984","","",""
"ARG","1985","","",""
"ARG","1986","","",""
"ARG","1987","","",""
"ARG","1988","","",""
"ARG","1989","","",""
"ARG","1990","","",""
"ARG","1991","","",""
"ARG","1992","","",""
"ARG","1993","","",""
"ARG","1994","","",""
"ARG","1995","","",""
"ARG","1996","","",""
"ARG","1997","","",""
"ARG","1998","","",""
"ARG","1999","","",""
"ARG","2000","","",""
"ARG","2001","","",""
"ARG","2002","","",""
"ARG","2003","61.657","",""
"ARG","2004","60.403","61.657",""
"ARG","2005","58.812","60.403",""
"ARG","2006","56.024","58.812","18.67606809708665"
"ARG","2007","53.73266666666667","56.024",""
"ARG","2008","51.14","53.73266666666667",""
"ARG","2009","50.513","51.14",""
"ARG","2010","49.336","50.513","18.649504852660503"
"ARG","2011","48.498","49.336","20.43595463978431"
"ARG","2012","48.474","48.498","19.90099581997842"
"ARG","2013","48.05","48.474","22.276364616933456"
"ARG","2014","47.444","48.05","21.20452041381936"
"ARG","2015","46.142","47.444",""
"ARG","2016","47.775666666666666","46.142","24.973943527008256"
"ARG","2017","48.563","47.775666666666666","25.655806308106072"
"ARG","2018","48.73","48.563","25.7522409476545"
"ARG","2019","49.918","48.73","27.089184713913852"
"ARG","2020","46.981","49.918","29.526803746133044"
"ARG","2021","49.142","46.981","26.843037187508962"
"ARG","2022","51.196","49.142","28.993935775447493"
"ARG","2023","50.445","51.196",""
"ARG","2024","51.576","50.445",""
"ARG","2025","52.818","51.576",""
"BHS","1953","","",""
"BHS","1960","","",""
"BHS","1961","","",""
"BHS","1962","","",""
"BHS","1963","","",""
"BHS","1964","","",""
"BHS","1965","","",""
"BHS","1966","","",""
"BHS","1967","","",""
"BHS","1968","","",""
"BHS","1969","","",""
"BHS","1970","","",""
"BHS","1971","","",""
"BHS","1972","","",""
"BHS","1973","","",""
"BHS","1974","","",""
"BHS","1975","","",""
"BHS","1976","","",""
"BHS","1977","","",""
"BHS","1978","","",""
"BHS","1979","","",""
"BHS","1980","","",""
"BHS","1981","","",""
"BHS","1982","","",""
"BHS","1983","","",""
"BHS","1984","","",""
"BHS","1985","","",""
"BHS","1986","","",""
"BHS","1987","","",""
"BHS","1988","","",""
"BHS","1989","","",""
"BHS","1990","","",""
"BHS","1991","","",""
"BHS","1992","","",""
"BHS","1993","","",""
"BHS","1994","","",""
"BHS","1995","","",""
"BHS","1996","","",""
"BHS","1997","","",""
"BHS","1998","","",""
"BHS","1999","","",""
"BHS","2000","","",""
"BHS","2001","","",""
"BHS","2002","","",""
"BHS","2003","","",""
"BHS","2004","","",""
"BHS","2005","","",""
"BHS","2006","","",""
"BHS","2007","","",""
"BHS","2008","","",""
"BHS","2009","","",""
"BHS","2010","","",""
"BHS","2011","","",""
"BHS","2012","","",""
"BHS","2013","","",""
"BHS","2014","","",""
"BHS","2015","","",""
"BHS","2016","","",""
"BHS","2017","","",""
"BHS","2018","","",""
"BHS","2019","18.324666666666666","",""
"BHS","2020","","18.324666666666666",""
"BHS","2021","","",""
"BHS","2022","","",""
"BHS","2023","","",""
"BHS","2024","","",""
"BHS","2025","","",""
"BLZ","1960","","",""
"BLZ","1961","","",""
"BLZ","1962","","",""
"BLZ","1963","","",""
"BLZ","1964","","",""
"BLZ","1965","","",""
"BLZ","1966","","",""
"BLZ","1967","","",""
"BLZ","1968","","",""
"BLZ","1969","","",""
"BLZ","1970","","",""
"BLZ","1971","","",""
"BLZ","1972","","",""
"BLZ","1973","","",""
"BLZ","1974","","",""
"BLZ","1975","","",""
"BLZ","1976","","",""
"BLZ","1977","","",""
"BLZ","1978","","",""
"BLZ","1979","","",""
"BLZ","1980","","",""
"BLZ","1981","","",""
"BLZ","1982","","",""
"BLZ","1983","","",""
"BLZ","1984","","",""
"BLZ","1985","","",""
"BLZ","1986","","",""
"BLZ","1987","","",""
"BLZ","1988","","",""
"BLZ","1989","","",""
"BLZ","1990","","",""
"BLZ","1991","","",""
"BLZ","1992","","",""
"BLZ","1993","","",""
"BLZ","1994","","",""
"BLZ","1995","","",""
"BLZ","1996","","",""
"BLZ","1997","","",""
"BLZ","1998","","",""
"BLZ","1999","","",""
"BLZ","2000","","",""
"BLZ","2001","","",""
"BLZ","2002","","",""
"BLZ","2003","","",""
"BLZ","2004","","",""
"BLZ","2005","","",""
"BLZ","2006","","",""
"BLZ","2007","","",""
"BLZ","2008","","",""
"BLZ","2009","","",""
"BLZ","2010","","",""
"BLZ","2011","","",""
"BLZ","2012","","",""
"BLZ","2013","","",""
"BLZ","2014","","",""
"BLZ","2015","","",""
"BLZ","2016","","",""
"BLZ","2017","","",""
"BLZ","2018","","",""
"BLZ","2019","","",""
"BLZ","2020","","",""
"BLZ","2021","","",""
"BLZ","2022","","",""
"BLZ","2023","","",""
"BLZ","2024","","",""
"BLZ","2025","","",""
"BOL","1950","","",""
"BOL","1960","","",""
"BOL","1961","","",""
"BOL","1962","","",""
"BOL","1963","","",""
"BOL","1964","","",""
"BOL","1965","","",""
"BOL","1966","","",""
"BOL","1967","","",""
"BOL","1968","","",""
"BOL","1969","","",""
"BOL","1970","","",""
"BOL","1971","","",""
"BOL","1972","","",""
"BOL","1973","","",""
"BOL","1974","","",""
"BOL","1975","","",""
"BOL","1976","","",""
"BOL","1977","","",""
"BOL","1978","","",""
"BOL","1979","","",""
"BOL","1980","","",""
"BOL","1981","","",""
"BOL","1982","","",""
"BOL","1983","","",""
"BOL","1984","","",""
"BOL","1985","","",""
"BOL","1986","","",""
"BOL","1987","","",""
"BOL","1988","","",""
"BOL","1989","","",""
"BOL","1990","","",""
"BOL","1991","","",""
"BOL","1992","","",""
"BOL","1993","","",""
"BOL","1994","","",""
"BOL","1995","","",""
"BOL","1996","","",""
"BOL","1997","","",""
"BOL","1998","","",""
"BOL","1999","84.13133333333333","",""
"BOL","2000","70.449","84.13133333333333",""
"BOL","2001","75.06266666666667","70.449",""
"BOL","2002","77.69033333333333","75.06266666666667",""
"BOL","2003","","77.69033333333333",""
"BOL","2004","87.722","",""
