"iso3","year","unemployment","employment","labor_force_participation","female_labor_participation","male_labor_participation","youth_unemployment"
"ARG","1960","","","47.46157142857143","","",""
"ARG","1961","","","","","",""
"ARG","1962","","","","","",""
"ARG","1963","","","","","",""
"ARG","1964","","","","","",""
"ARG","1965","","","","","",""
"ARG","1966","","","","","",""
"ARG","1967","","","","","",""
"ARG","1968","","","","","",""
"ARG","1969","","","","","",""
"ARG","1970","","","46.34557142857143","","",""
"ARG","1971","","","","","",""
"ARG","1972","","","","","",""
"ARG","1973","","","","","",""
"ARG","1974","","","","","",""
"ARG","1975","","","","","",""
"ARG","1976","","","","","",""
"ARG","1977","","","45.72914285714286","","",""
"ARG","1978","","","45.58971428571429","","",""
"ARG","1979","","","45.41871428571429","","",""
"ARG","1980","","","45.982","","",""
"ARG","1981","","","","","",""
"ARG","1982","","","","","",""
"ARG","1983","","","48.86825","","",""
"ARG","1984","","","","","",""
"ARG","1985","","","48.26925","","",""
"ARG","1986","","","","","",""
"ARG","1987","","","48.27425","","",""
"ARG","1988","","","","","",""
"ARG","1989","","","48.34725","","",""
"ARG","1990","","46.6","48.235375","","",""
"ARG","1991","","47.0","51.64225","","",""
"ARG","1992","","47.3","50.3","","",""
"ARG","1993","","47.1","51.8","","",""
"ARG","1994","","44.8","51.3","","",""
"ARG","1995","","43.7","46.014625","","",""
"ARG","1996","","43.7","59.5","","",""
"ARG","1997","","46.2","59.5","","",""
"ARG","1998","","46.7","59.9","","",""
"ARG","1999","","46.7","60.4","","",""
"ARG","2000","15.0","49.5","42.17975","","",""
"ARG","2001","17.322","46.4","56.8","","",""
"ARG","2002","19.59","47.6","57.9","","",""
"ARG","2003","15.4","51.9","42.7385","","",""
"ARG","2004","13.522","48.93175","56.86625","","",""
"ARG","2005","11.506","49.784","56.514625","","",""
"ARG","2006","10.078","50.914","56.846","","",""
"ARG","2007","8.469","55.8","61.0","","",""
"ARG","2008","7.837","50.749875","55.168","","",""
"ARG","2009","8.645","50.5725","55.48525","","",""
"ARG","2010","7.714","50.531375","54.87025","","",""
"ARG","2011","7.18","51.214375","55.29","","",""
"ARG","2012","7.217","51.006125","55.05475","","",""
"ARG","2013","7.1","50.63325","54.60925","","",""
"ARG","2014","7.268","50.21875","54.191875","","",""
"ARG","2015","","","","","",""
"ARG","2016","8.466666666666667","","58.6","47.73333333333333","70.8","23.866666666666667"
"ARG","2017","8.35","49.703625","58.8","48.0","70.9","22.625"
"ARG","2018","9.225","49.788","59.6","49.525","71.0","23.725"
"ARG","2019","9.85","49.924375","60.275","50.3","71.425","25.85"
"ARG","2020","11.55","44.892125","56.0","46.775","66.375","30.5"
"ARG","2021","8.75","50.03375","60.375","50.5","71.15","23.2"
"ARG","2022","6.825","52.00025","61.475","52.1","71.725","18.95"
"ARG","2023","6.125","53.189","62.325","53.175","72.225","17.875"
"ARG","2024","7.4","52.840125","62.3","53.56666666666666","71.8","19.766666666666666"
"ARG","2025","7.377","52.7035","57.033125","","",""
"BHS","1953","","","47.174","","",""
"BHS","1960","","","","","",""
"BHS","1961","","","","","",""
"BHS","1962","","","","","",""
"BHS","1963","","","66.54585714285714","","",""
"BHS","1964","","","","","",""
"BHS","1965","","","","","",""
"BHS","1966","","","","","",""
"BHS","1967","","","","","",""
"BHS","1968","","","","","",""
"BHS","1969","","","","","",""
"BHS","1970","","","66.58571428571429","","",""
"BHS","1971","","","","","",""
"BHS","1972","","","","","",""
"BHS","1973","","","","","",""
"BHS","1974","","","","","",""
"BHS","1975","","","","","",""
"BHS","1976","","","","","",""
"BHS","1977","","","","","",""
"BHS","1978","","","","","",""
"BHS","1979","","32.324","36.78","","",""
"BHS","1980","","","48.906875","","",""
"BHS","1981","","","","","",""
"BHS","1982","","","","","",""
"BHS","1983","","","","","",""
"BHS","1984","","","","","",""
"BHS","1985","","","","","",""
"BHS","1986","","","","","",""
"BHS","1987","","","","","",""
"BHS","1988","","","","","",""
"BHS","1989","","45.189","51.178","","",""
"BHS","1990","","60.443375","51.9405","","",""
"BHS","1991","","64.6","73.6","","",""
"BHS","1992","","63.3","74.3","","",""
"BHS","1993","","65.8","75.7","","",""
"BHS","1994","","54.0375","62.73933333333333","","",""
"BHS","1995","","65.8","73.9","","",""
"BHS","1996","","65.2","73.7","","",""
"BHS","1997","","67.6","74.9","","",""
"BHS","1998","","52.2238","60.623","","",""
"BHS","1999","","69.4","76.8","","",""
"BHS","2000","","","","","",""
"BHS","2001","6.883","70.9","76.2","","",""
"BHS","2002","9.096","69.4","76.4","","",""
"BHS","2003","10.835","","","","",""
"BHS","2004","10.203","67.957","75.678","","",""
"BHS","2005","10.17","","","","",""
"BHS","2006","7.604","","","","",""
"BHS","2007","7.853","","","","",""
"BHS","2008","8.712","69.7","","","",""
"BHS","2009","14.2","69.42","73.4","","",""
"BHS","2010","","","","","",""
"BHS","2011","14.521","62.1","72.3","","",""
"BHS","2012","14.7","64.052","72.3","","",""
"BHS","2013","16.184","","72.7","","",""
"BHS","2014","13.8","","","","",""
"BHS","2015","12.0","","","","",""
"BHS","2016","12.7","","","","",""
"BHS","2017","9.8","","","","",""
"BHS","2018","10.0","","","","",""
"BHS","2019","9.336","63.3765","69.92824999999999","","",""
"BHS","2020","","","","","",""
"BHS","2021","","","","","",""
"BHS","2022","","","","","",""
"BHS","2023","10.346","61.860375000000005","69.128375","","",""
"BHS","2024","","","","","",""
"BHS","2025","","","","","",""
"BLZ","1960","","","51.184666666666665","","",""
"BLZ","1961","","","","","",""
"BLZ","1962","","","","","",""
"BLZ","1963","","","","","",""
"BLZ","1964","","","","","",""
"BLZ","1965","","","","","",""
"BLZ","1966","","","","","",""
"BLZ","1967","","","","","",""
"BLZ","1968","","","","","",""
"BLZ","1969","","","","","",""
"BLZ","1970","","","35.43866666666667","","",""
"BLZ","1971","","","","","",""
"BLZ","1972","","","","","",""
"BLZ","1973","","","","","",""
"BLZ","1974","","","","","",""
"BLZ","1975","","","","","",""
"BLZ","1976","","","","","",""
"BLZ","1977","","","","","",""
"BLZ","1978","","","","","",""
"BLZ","1979","","","","","",""
"BLZ","1980","","","","","",""
"BLZ","1981","","","","","",""
"BLZ","1982","","","","","",""
"BLZ","1983","","","","","",""
"BLZ","1984","","","","","",""
"BLZ","1985","","","","","",""
"BLZ","1986","","","","","",""
"BLZ","1987","","","","","",""
"BLZ","1988","","","","","",""
"BLZ","1989","","","","","",""
"BLZ","1990","","","","","",""
"BLZ","1991","","","","","",""
"BLZ","1992","","","","","",""
"BLZ","1993","","","","","",""
"BLZ","1994","","47.33675","52.766","","",""
"BLZ","1995","","","","","",""
"BLZ","1996","","48.452","33.54","","",""
"BLZ","1997","","51.414","58.9","","",""
"BLZ","1998","","50.258","58.7","","",""
"BLZ","1999","","51.724","59.3","","",""
"BLZ","2000","","","","","",""
"BLZ","2001","9.066","","","","",""
"BLZ","2002","10.038","","","","",""
"BLZ","2003","","","","","",""
"BLZ","2004","","","","","",""
"BLZ","2005","10.907","54.99","44.05525","","",""
"BLZ","2006","9.394","","","","",""
"BLZ","2007","8.508","","","","",""
"BLZ","2008","8.182","","","","",""
"BLZ","2009","","","","","",""
"BLZ","2010","","","","","",""
"BLZ","2011","","","","","",""
"BLZ","2012","14.271","53.306","62.217875","","",""
"BLZ","2013","8.349","52.974875","57.655625","","",""
"BLZ","2014","8.244","53.71525","58.16775","","",""
"BLZ","2015","7.578","54.07975","58.264875","","",""
"BLZ","2016","7.0","55.41425","59.196625","","",""
"BLZ","2017","6.596","55.418375","59.019625000000005","","",""
"BLZ","2018","9.346","56.690125","62.02975","","",""
"BLZ","2019","9.053","59.40425","64.96825","","",""
"BLZ","2020","","","","","",""
"BLZ","2021","","","","","",""
"BLZ","2022","","","","","",""
"BLZ","2023","","","","","",""
"BLZ","2024","","","","","",""
"BLZ","2025","","","","","",""
"BOL","1950","","","75.54","","",""
"BOL","1960","","","","","",""
"BOL","1961","","","","","",""
"BOL","1962","","","","","",""
"BOL","1963","","","","","",""
"BOL","1964","","","","","",""
"BOL","1965","","","","","",""
"BOL","1966","","","","","",""
"BOL","1967","","","","","",""
"BOL","1968","","","","","",""
"BOL","1969","","","","","",""
"BOL","1970","","","","","",""
"BOL","1971","","","","","",""
"BOL","1972","","","","","",""
"BOL","1973","","","","","",""
"BOL","1974","","","","","",""
"BOL","1975","","","","","",""
"BOL","1976","","","51.659625","","",""
"BOL","1977","","","","","",""
"BOL","1978","","","","","",""
"BOL","1979","","","","","",""
"BOL","1980","","","","","",""
"BOL","1981","","51.432","52.251000000000005","","",""
"BOL","1982","","50.689","52.452375","","",""
"BOL","1983","","","","","",""
"BOL","1984","","","","","",""
"BOL","1985","","45.993","50.70925","","",""
"BOL","1986","","40.44975","51.251375","","",""
"BOL","1987","","41.86675","51.694375","","",""
"BOL","1988","","","","","",""
"BOL","1989","","48.421","53.273","","",""
"BOL","1990","","50.631","54.5435","","",""
"BOL","1991","","54.201","51.684","","",""
"BOL","1992","","51.183875","53.89825","","",""
"BOL","1993","","49.5","52.6","","",""
"BOL","1994","","52.0","53.7","","",""
"BOL","1995","","56.19","58.305625","","",""
"BOL","1996","","57.229625","60.23074999999999","","",""
"BOL","1997","","67.39125","68.6665","","",""
"BOL","1998","","","","","",""
"BOL","1999","","66.839875","69.27875","","",""
"BOL","2000","4.79","65.22525","68.01100000000001","","",""
"BOL","2001","5.242","70.5","67.8","","",""
"BOL","2002","5.476","68.4","72.3","","",""
"BOL","2003","","70.0","73.1","","",""
"BOL","2004","4.167","70.0","73.1","","",""
"BOL","2005","5.446","64.8205","68.0005","","",""
"BOL","2006","5.08","67.254125","70.073375","","",""
"BOL","2007","5.175","47.183","49.758","","",""
"BOL","2008","2.603","67.952625","69.60775","","",""
"BOL","2009","2.973","67.96225","69.89725","","",""
"BOL","2010","","","","","",""
"BOL","2011","2.255","67.981","69.446125","","",""
"BOL","2012","2.066","64.74775","66.01112499999999","","",""
"BOL","2013","2.437","65.345875","66.831375","","",""
"BOL","2014","2.021","67.70125","68.999875","","",""
"BOL","2015","3.111","62.832875","64.66312500000001","","",""
"BOL","2016","3.9","63.062375","67.725","57.525","78.375","7.699999999999999"
"BOL","2017","4.05","64.393","68.925","59.650000000000006","78.675","7.45"
"BOL","2018","3.825","67.38000000000001","72.02499999999999","64.0","80.525","7.575"
"BOL","2019","3.875","69.15474999999999","74.325","66.625","82.325","7.5"
"BOL","2020","8.0","61.408625","68.35","60.05","77.0","14.1"
"BOL","2021","5.325","71.7435","77.95","71.425","84.8","8.725"
"BOL","2022","3.65","73.142875","78.35","71.975","85.025","6.375"
"BOL","2023","3.175","73.706","78.475","72.775","84.525","5.35"
"BOL","2024","3.05","75.272625","79.55","74.19999999999999","85.1","4.85"
"BOL","2025","","","","","",""
"BRA","1960","","","49.45971428571429","","",""
"BRA","1961","","","","","",""
"BRA","1962","","","","","",""
"BRA","1963","","","","","",""
"BRA","1964","","","","","",""
"BRA","1965","","","","","",""
"BRA","1966","","","","","",""
"BRA","1967","","","","","",""
"BRA","1968","","","","","",""
"BRA","1969","","","","","",""
"BRA","1970","","","47.33557142857143","","",""
"BRA","1971","","","","","",""
"BRA","1972","","","","","",""
"BRA","1973","","62.454","61.666","","",""
"BRA","1974","","","","","",""
"BRA","1975","","","","","",""
"BRA","1976","","59.134","57.686","","",""
"BRA","1977","","","","","",""
"BRA","1978","","","","","",""
"BRA","1979","","","","","",""
"BRA","1980","","","50.50475","","",""
"BRA","1981","","","","","",""
"BRA","1982","","","","","",""
"BRA","1983","","","","","",""
"BRA","1984","","","","","",""
"BRA","1985","","64.354","62.528","","",""
"BRA","1986","","64.124","62.369","","",""
"BRA","1987","","64.64","63.786","","",""
"BRA","1988","","64.313","63.608","","",""
"BRA","1989","","55.476875","57.767875","","",""
"BRA","1990","","55.328125","57.950625","","",""
"BRA","1991","","","57.274","","",""
"BRA","1992","","58.85187500000001","63.0915","","",""
"BRA","1993","","67.572","68.17","","",""
"BRA","1994","","","","","",""
"BRA","1995","","55.761625","59.8885","","",""
"BRA","1996","","53.581125","58.158375","","",""
"BRA","1997","","53.7945","58.999125","","",""
"BRA","1998","","53.273625","59.16725","","",""
"BRA","1999","","53.2415","59.72575","","",""
"BRA","2000","","","","","",""
"BRA","2001","10.649","54.4305","60.72125","","",""
"BRA","2002","10.641","55.18475","61.5795","","",""
"BRA","2003","11.168","54.70825","61.40775","","",""
"BRA","2004","10.072","55.69575","61.791","","",""
"BRA","2005","10.551","56.068","62.572625","","",""
"BRA","2006","9.692","56.3545","62.329375","","",""
"BRA","2007","9.28","56.152375","61.8305","","",""
"BRA","2008","8.268","56.690375","61.782125","","",""
"BRA","2009","9.419","55.942375","61.76475","","",""
"BRA","2010","","","","","",""
"BRA","2011","7.578","54.707625","59.251625","","",""
"BRA","2012","7.251","52.622875","56.784125","","",""
"BRA","2013","7.071","52.681875","56.73475","","",""
"BRA","2014","6.755","52.639375","56.529","","",""
"BRA","2015","8.538","51.8885","56.835125","","",""
"BRA","2016","11.58","50.1725","56.936","","",""
"BRA","2017","12.792","49.807125","57.339125","","",""
"BRA","2018","12.329","50.188875","57.505125","","",""
"BRA","2019","11.936","50.86825","58.047875","","",""
"BRA","2020","13.697","46.219","53.843","","",""
"BRA","2021","13.158","48.105","55.72425","","",""
"BRA","2022","9.231","51.49","57.003625","","",""
"BRA","2023","7.947","51.887375","56.59925","","",""
"BRA","2024","6.801","53.111875","57.199875","","",""
"BRA","2025","5.832","53.82275","57.335625","","",""
"BRB","1960","","","39.7","","",""
"BRB","1961","","","","","",""
"BRB","1962","","","","","",""
"BRB","1963","","","","","",""
"BRB","1964","","","","","",""
"BRB","1965","","","","","",""
"BRB","1966","","","38.035","","",""
"BRB","1967","","","","","",""
"BRB","1968","","","","","",""
"BRB","1969","","","","","",""
"BRB","1970","","","57.995333333333335","","",""
"BRB","1971","","","","","",""
"BRB","1972","","","","","",""
"BRB","1973","","","","","",""
"BRB","1974","","","","","",""
"BRB","1975","","","","","",""
"BRB","1976","","","","","",""
"BRB","1977","","","","","",""
"BRB","1978","","34.552","41.328","","",""
"BRB","1979","","","","","",""
"BRB","1980","","","59.60875","","",""
"BRB","1981","","","","","",""
"BRB","1982","","","","","",""
"BRB","1983","","50.97666666666667","58.882","","",""
"BRB","1984","","","","","",""
"BRB","1985","","","","","",""
"BRB","1986","","49.477","60.022875","","",""
"BRB","1987","","49.65275","60.469125","","",""
"BRB","1988","","50.5945","61.36625","","",""
"BRB","1989","","53.893375","62.747625","","",""
"BRB","1990","","53.839","60.3815","","",""
"BRB","1991","","50.55366666666667","58.53675","","",""
"BRB","1992","","45.408","59.26225","","",""
"BRB","1993","","","","","",""
"BRB","1994","","46.48075","60.418625000000006","","",""
"BRB","1995","","48.51825","60.784375","","",""
"BRB","1996","","51.09125","60.026375","","",""
"BRB","1997","","51.388000000000005","60.339875","","",""
"BRB","1998","","","","","",""
"BRB","1999","","","","","",""
"BRB","2000","9.347","","","","",""
"BRB","2001","9.85","","","","",""
"BRB","2002","10.32","","","","",""
"BRB","2003","10.997","54.619625","61.89175","","",""
"BRB","2004","","","62.666125","","",""
"BRB","2005","","","","","",""
"BRB","2006","","","","","",""
"BRB","2007","","","","","",""
"BRB","2008","","","","","",""
"BRB","2009","10.0","","55.68","","",""
"BRB","2010","10.7","","55.35999999999999","","",""
"BRB","2011","","60.0","61.3515","","",""
"BRB","2012","","58.5","60.074875","","",""
"BRB","2013","11.546","53.576125","61.095625","","",""
"BRB","2014","12.3","50.86475","58.52675","","",""
"BRB","2015","9.803","52.443375","58.515","","",""
"BRB","2016","8.247","54.551125","59.815000000000005","","",""
"BRB","2017","8.62","53.83475","59.297125","","",""
"BRB","2018","8.321","53.787625","59.028","","",""
"BRB","2019","8.41","52.660125","57.945125","","",""
"BRB","2020","","","","","",""
"BRB","2021","11.015","49.520625","56.024","","",""
"BRB","2022","7.261","54.29925","58.947","","",""
"BRB","2023","6.54","54.53625","58.639","","",""
"BRB","2024","","","","","",""
"BRB","2025","","","","","",""
"CHL","1952","","","54.476","","",""
"CHL","1960","","","49.247","","",""
"CHL","1961","","","","","",""
"CHL","1962","","","","","",""
"CHL","1963","","","","","",""
"CHL","1964","","","","","",""
"CHL","1965","","","","","",""
"CHL","1966","","","","","",""
"CHL","1967","","","","","",""
"CHL","1968","","","","","",""
"CHL","1969","","","","","",""
"CHL","1970","","","45.622","","",""
"CHL","1971","","","","","",""
"CHL","1972","","","","","",""
"CHL","1973","","","","","",""
"CHL","1974","","","","","",""
"CHL","1975","","","","","",""
"CHL","1976","","","","","",""
"CHL","1977","","","","","",""
"CHL","1978","","","","","",""
"CHL","1979","","","","","",""
"CHL","1980","","42.426","40.486428571428576","","",""
"CHL","1981","","42.538","43.298875","","",""
"CHL","1982","","37.93","42.430375","","",""
"CHL","1983","","36.59725","42.711375","","",""
"CHL","1984","","32.566375","37.6345","","",""
"CHL","1985","","","39.98175","","",""
"CHL","1986","","36.284","39.652","","",""
"CHL","1987","","","","","",""
"CHL","1988","","44.343625","47.28175","","",""
"CHL","1989","","45.1895","47.735875","","",""
"CHL","1990","","44.495000000000005","47.375125","","",""
"CHL","1991","","44.37875","47.255625","","",""
"CHL","1992","","45.9065","48.1785","","",""
"CHL","1993","","47.472625","49.965625","","",""
"CHL","1994","","46.629125","49.88","","",""
"CHL","1995","","46.237875","49.1375","","",""
"CHL","1996","","46.333625","49.19525","","",""
"CHL","1997","","","","","",""
"CHL","1998","","45.125375","50.107125","","",""
"CHL","1999","","","","","",""
"CHL","2000","10.399","44.726875","49.960125","","",""
"CHL","2001","","","","","",""
"CHL","2002","","","","","",""
"CHL","2003","9.7","46.18675","51.23275","","",""
"CHL","2004","","","","","",""
"CHL","2005","","","","","",""
"CHL","2006","7.402","48.227125","52.056375","","",""
"CHL","2007","","","","","",""
"CHL","2008","","","","","",""
"CHL","2009","10.341","45.602125","50.87525","","",""
"CHL","2010","8.547","50.106875","54.730625","","",""
"CHL","2011","7.492","51.995875","56.2055","","",""
"CHL","2012","6.79","52.546","56.365875","","",""
"CHL","2013","6.361","52.866","56.448625","","",""
"CHL","2014","6.761","52.98425","56.85175","","",""
"CHL","2015","6.605","53.270875","57.003375","","",""
"CHL","2016","6.7","53.12625","59.95","48.5","71.75","16.25"
"CHL","2017","7.0","53.516875","60.25","49.075","71.75","17.625"
"CHL","2018","7.2","53.46975","60.15","49.575","71.05","18.2"
"CHL","2019","7.2","53.3595","59.9","49.775","70.3","19.8"
"CHL","2020","11.35","45.271875","57.4","46.625","68.65","26.075"
"CHL","2021","9.225","46.933875","57.75","46.975","69.05","20.85"
"CHL","2022","8.175","49.73025","60.275","50.325","70.65","18.375"
"CHL","2023","8.875","50.515125","61.825","52.4","71.675","21.925"
"CHL","2024","8.866666666666667","51.436875","62.8","53.43333333333333","72.56666666666666","21.566666666666663"
"CHL","2025","8.894","51.542125","56.712375","","",""
"COL","1951","","","53.6175","","",""
"COL","1960","","","","","",""
"COL","1961","","","","","",""
"COL","1962","","","","","",""
"COL","1963","","","","","",""
"COL","1964","","","48.95928571428571","","",""
"COL","1965","","","","","",""
"COL","1966","","","","","",""
"COL","1967","","","","","",""
"COL","1968","","","","","",""
"COL","1969","","","","","",""
"COL","1970","","","","","",""
"COL","1971","","","","","",""
"COL","1972","","","","","",""
"COL","1973","","","47.38183333333333","","",""
"COL","1974","","","","","",""
"COL","1975","","","","","",""
"COL","1976","","","","","",""
"COL","1977","","","","","",""
"COL","1978","","","","","",""
"COL","1979","","","","","",""
"COL","1980","","18.163","47.499","","",""
"COL","1981","","","","","",""
"COL","1982","","","","","",""
"COL","1983","","","","","",""
"COL","1984","","","","","",""
"COL","1985","","","49.43","","",""
"COL","1986","","","33.5","","",""
"COL","1987","","","34.8","","",""
"COL","1988","","","","","",""
"COL","1989","","56.121","61.174","","",""
"COL","1990","","55.222","61.461","","",""
"COL","1991","","61.087","63.808","","",""
"COL","1992","","","64.12","","",""
"COL","1993","","65.809","71.281","","",""
