"iso3","year","monetary_poverty","extreme_poverty","poverty_gap","poverty_lag1"
"ARG","1960","","","",""
"ARG","1961","","","",""
"ARG","1962","","","",""
"ARG","1963","","","",""
"ARG","1964","","","",""
"ARG","1965","","","",""
"ARG","1966","","","",""
"ARG","1967","","","",""
"ARG","1968","","","",""
"ARG","1969","","","",""
"ARG","1970","","","",""
"ARG","1971","","","",""
"ARG","1972","","","",""
"ARG","1973","","","",""
"ARG","1974","","","",""
"ARG","1975","","","",""
"ARG","1976","","","",""
"ARG","1977","","","",""
"ARG","1978","","","",""
"ARG","1979","","","",""
"ARG","1980","7.5","0.0","1.6",""
"ARG","1981","","","","7.5"
"ARG","1982","","","",""
"ARG","1983","","","",""
"ARG","1984","","","",""
"ARG","1985","","","",""
"ARG","1986","6.0","1.3","2.4",""
"ARG","1987","9.6","1.5","3.4","6.0"
"ARG","1988","","","","9.6"
"ARG","1989","","","",""
"ARG","1990","","","",""
"ARG","1991","17.3","1.3","5.7",""
"ARG","1992","17.9","2.5","6.1","17.3"
"ARG","1993","17.4","2.9","6.6","17.9"
"ARG","1994","18.5","2.7","6.8","17.4"
"ARG","1995","24.0","5.1","9.4","18.5"
"ARG","1996","25.8","5.4","10.5","24.0"
"ARG","1997","24.8","5.2","9.8","25.8"
"ARG","1998","27.0","5.7","10.9","24.8"
"ARG","1999","28.0","5.9","11.2","27.0"
"ARG","2000","30.9","7.3","12.9","28.0"
"ARG","2001","34.3","10.7","16.6","30.9"
"ARG","2002","49.1","17.1","24.2","34.3"
"ARG","2003","33.1","8.2","14.4","49.1"
"ARG","2004","28.6","6.0","11.7","33.1"
"ARG","2005","24.5","4.4","9.5","28.6"
"ARG","2006","19.9","3.5","7.6","24.5"
"ARG","2007","18.9","2.8","6.7","19.9"
"ARG","2008","16.7","2.6","6.2","18.9"
"ARG","2009","15.2","2.4","5.5","16.7"
"ARG","2010","13.6","1.5","4.6","15.2"
"ARG","2011","11.3","1.2","3.5","13.6"
"ARG","2012","10.3","1.3","3.5","11.3"
"ARG","2013","10.4","1.1","3.3","10.3"
"ARG","2014","11.7","1.1","3.7","10.4"
"ARG","2015","1.8","0.9","","11.7"
"ARG","2016","11.5","1.3","3.7","1.8"
"ARG","2017","9.8","1.1","3.3","11.5"
"ARG","2018","12.5","1.6","4.2","9.8"
"ARG","2019","14.9","1.7","5.0","12.5"
"ARG","2020","18.3","2.2","6.2","14.9"
"ARG","2021","14.2","1.4","4.6","18.3"
"ARG","2022","13.9","1.3","4.2","14.2"
"ARG","2023","16.4","1.2","5.0","13.9"
"ARG","2024","15.2","1.0","4.4","16.4"
"ARG","2025","","","","15.2"
"BHS","1953","","","",""
"BHS","1960","","","",""
"BHS","1961","","","",""
"BHS","1962","","","",""
"BHS","1963","","","",""
"BHS","1964","","","",""
"BHS","1965","","","",""
"BHS","1966","","","",""
"BHS","1967","","","",""
"BHS","1968","","","",""
"BHS","1969","","","",""
"BHS","1970","","","",""
"BHS","1971","","","",""
"BHS","1972","","","",""
"BHS","1973","","","",""
"BHS","1974","","","",""
"BHS","1975","","","",""
"BHS","1976","","","",""
"BHS","1977","","","",""
"BHS","1978","","","",""
"BHS","1979","","","",""
"BHS","1980","","","",""
"BHS","1981","","","",""
"BHS","1982","","","",""
"BHS","1983","","","",""
"BHS","1984","","","",""
"BHS","1985","","","",""
"BHS","1986","","","",""
"BHS","1987","","","",""
"BHS","1988","","","",""
"BHS","1989","","","",""
"BHS","1990","","","",""
"BHS","1991","","","",""
"BHS","1992","","","",""
"BHS","1993","","","",""
"BHS","1994","","","",""
"BHS","1995","","","",""
"BHS","1996","","","",""
"BHS","1997","","","",""
"BHS","1998","","","",""
"BHS","1999","","","",""
"BHS","2000","","","",""
"BHS","2001","","","",""
"BHS","2002","","","",""
"BHS","2003","","","",""
"BHS","2004","","","",""
"BHS","2005","","","",""
"BHS","2006","","","",""
"BHS","2007","","","",""
"BHS","2008","","","",""
"BHS","2009","","","",""
"BHS","2010","","","",""
"BHS","2011","","","",""
"BHS","2012","","","",""
"BHS","2013","","","",""
"BHS","2014","","","",""
"BHS","2015","","","",""
"BHS","2016","","","",""
"BHS","2017","","","",""
"BHS","2018","","","",""
"BHS","2019","","","",""
"BHS","2020","","","",""
"BHS","2021","","","",""
"BHS","2022","","","",""
"BHS","2023","","","",""
"BHS","2024","","","",""
"BHS","2025","","","",""
"BLZ","1960","","","",""
"BLZ","1961","","","",""
"BLZ","1962","","","",""
"BLZ","1963","","","",""
"BLZ","1964","","","",""
"BLZ","1965","","","",""
"BLZ","1966","","","",""
"BLZ","1967","","","",""
"BLZ","1968","","","",""
"BLZ","1969","","","",""
"BLZ","1970","","","",""
"BLZ","1971","","","",""
"BLZ","1972","","","",""
"BLZ","1973","","","",""
"BLZ","1974","","","",""
"BLZ","1975","","","",""
"BLZ","1976","","","",""
"BLZ","1977","","","",""
"BLZ","1978","","","",""
"BLZ","1979","","","",""
"BLZ","1980","","","",""
"BLZ","1981","","","",""
"BLZ","1982","","","",""
"BLZ","1983","","","",""
"BLZ","1984","","","",""
"BLZ","1985","","","",""
"BLZ","1986","","","",""
"BLZ","1987","","","",""
"BLZ","1988","","","",""
"BLZ","1989","","","",""
"BLZ","1990","","","",""
"BLZ","1991","","","",""
"BLZ","1992","","","",""
"BLZ","1993","61.5","18.0","29.9",""
"BLZ","1994","65.2","18.1","31.2","61.5"
"BLZ","1995","48.0","18.4","25.2","65.2"
"BLZ","1996","70.5","23.3","35.3","48.0"
"BLZ","1997","70.0","26.0","36.9","70.5"
"BLZ","1998","68.6","26.1","36.1","70.0"
"BLZ","1999","66.7","22.5","34.4","68.6"
"BLZ","2000","","","","66.7"
"BLZ","2001","","","",""
"BLZ","2002","","","",""
"BLZ","2003","","","",""
"BLZ","2004","","","",""
"BLZ","2005","","","",""
"BLZ","2006","","","",""
"BLZ","2007","","","",""
"BLZ","2008","","","",""
"BLZ","2009","","","",""
"BLZ","2010","","","",""
"BLZ","2011","","","",""
"BLZ","2012","","","",""
"BLZ","2013","","","",""
"BLZ","2014","","","",""
"BLZ","2015","","","",""
"BLZ","2016","","","",""
"BLZ","2017","","","",""
"BLZ","2018","19.7","1.0","6.0",""
"BLZ","2019","","","","19.7"
"BLZ","2020","","","",""
"BLZ","2021","","","",""
"BLZ","2022","","","",""
"BLZ","2023","","","",""
"BLZ","2024","","","",""
"BLZ","2025","","","",""
"BOL","1950","","","",""
"BOL","1960","","","",""
"BOL","1961","","","",""
"BOL","1962","","","",""
"BOL","1963","","","",""
"BOL","1964","","","",""
"BOL","1965","","","",""
"BOL","1966","","","",""
"BOL","1967","","","",""
