"iso3","year","social_protection_coverage","social_assistance_coverage_aspire","social_insurance_coverage_aspire","cash_transfer_coverage_aspire","pension_coverage_aspire","social_protection_adequacy_aspire","public_transfer_benefit_q1_aspire"
"ARG","1960","","","","","","",""
"ARG","1961","","","","","","",""
"ARG","1962","","","","","","",""
"ARG","1963","","","","","","",""
"ARG","1964","","","","","","",""
"ARG","1965","","","","","","",""
"ARG","1966","","","","","","",""
"ARG","1967","","","","","","",""
"ARG","1968","","","","","","",""
"ARG","1969","","","","","","",""
"ARG","1970","","","","","","",""
"ARG","1971","","","","","","",""
"ARG","1972","","","","","","",""
"ARG","1973","","","","","","",""
"ARG","1974","","","","","","",""
"ARG","1975","","","","","","",""
"ARG","1976","","","","","","",""
"ARG","1977","","","","","","",""
"ARG","1978","","","","","","",""
"ARG","1979","","","","","","",""
"ARG","1980","","","","","","",""
"ARG","1981","","","","","","",""
"ARG","1982","","","","","","",""
"ARG","1983","","","","","","",""
"ARG","1984","","","","","","",""
"ARG","1985","","","","","","",""
"ARG","1986","","","","","","",""
"ARG","1987","","","","","","",""
"ARG","1988","","","","","","",""
"ARG","1989","","","","","","",""
"ARG","1990","","","","","","",""
"ARG","1991","","","","","","",""
"ARG","1992","","","","","","",""
"ARG","1993","","","","","","",""
"ARG","1994","","","","","","",""
"ARG","1995","","","","","","",""
"ARG","1996","","","","","","",""
"ARG","1997","","","","","","",""
"ARG","1998","","","","","","",""
"ARG","1999","","","","","","",""
"ARG","2000","","","","","","",""
"ARG","2001","","","","","","",""
"ARG","2002","","","","","","",""
"ARG","2003","","","","","","",""
"ARG","2004","","","","","","",""
"ARG","2005","","","","","","",""
"ARG","2006","33.33583481559091","11.353510661159378","22.338095336173","","22.338095336173","40.86025428037131","2.7769016519082426"
"ARG","2007","","","","","","",""
"ARG","2008","","","","","","",""
"ARG","2009","","","","","","",""
"ARG","2010","37.80100707933457","9.394351260815114","29.57528101728936","","29.57528101728936","37.013955541771374","5.842257480587301"
"ARG","2011","42.13772658621863","17.064363272673404","29.332118810038573","","29.332118810038573","29.876714848501123","10.972323873753451"
"ARG","2012","41.05498993270294","16.269824656374787","28.969560057171343","","28.969560057171343","32.78645841529598","10.398277948310652"
"ARG","2013","46.36080045147442","19.762048649565543","30.590557801090263","","30.590557801090263","38.15037582511339","6.731542244022417"
"ARG","2014","44.69378723088137","16.808491781973796","31.44235611332529","","31.44235611332529","38.58560334946243","6.336778217185499"
"ARG","2015","","","","","","",""
"ARG","2016","52.273354344279","24.113281455880884","34.67822919818708","20.88271771704809","34.67822919818708","37.84584176249385","6.159807172070156"
"ARG","2017","52.829945242481045","23.92131123388797","35.36281278338323","20.745300888293816","35.36281278338323","39.68798910739182","5.720379898256953"
"ARG","2018","52.84679037072543","24.946805297585428","33.90985047200573","21.511817853021046","33.90985047200573","38.77273080325666","5.5805456988460245"
"ARG","2019","54.26736791120207","26.31687775667222","34.30033784791172","22.929670089268907","34.30033784791172","39.044185747172826","5.827796700882278"
"ARG","2020","62.84839349126891","41.39872856474479","31.17782479953528","36.24585071174876","31.17782479953528","39.301337865555766","7.155225830234492"
"ARG","2021","54.62341212711929","30.16754578157084","31.759801197671457","23.504897708300938","31.759801197671457","36.56051926866682","7.128633632490048"
"ARG","2022","56.63320528058343","33.202797075181934","31.5987423157459","26.33723112635778","31.5987423157459","34.346853090949345","8.299100479915461"
"ARG","2023","","","","","","",""
"ARG","2024","","","","","","",""
"ARG","2025","","","","","","",""
"BHS","1953","","","","","","",""
"BHS","1960","","","","","","",""
"BHS","1961","","","","","","",""
"BHS","1962","","","","","","",""
"BHS","1963","","","","","","",""
"BHS","1964","","","","","","",""
"BHS","1965","","","","","","",""
"BHS","1966","","","","","","",""
"BHS","1967","","","","","","",""
"BHS","1968","","","","","","",""
"BHS","1969","","","","","","",""
"BHS","1970","","","","","","",""
"BHS","1971","","","","","","",""
"BHS","1972","","","","","","",""
"BHS","1973","","","","","","",""
"BHS","1974","","","","","","",""
"BHS","1975","","","","","","",""
"BHS","1976","","","","","","",""
"BHS","1977","","","","","","",""
"BHS","1978","","","","","","",""
"BHS","1979","","","","","","",""
"BHS","1980","","","","","","",""
"BHS","1981","","","","","","",""
"BHS","1982","","","","","","",""
"BHS","1983","","","","","","",""
"BHS","1984","","","","","","",""
"BHS","1985","","","","","","",""
"BHS","1986","","","","","","",""
"BHS","1987","","","","","","",""
"BHS","1988","","","","","","",""
"BHS","1989","","","","","","",""
"BHS","1990","","","","","","",""
"BHS","1991","","","","","","",""
"BHS","1992","","","","","","",""
"BHS","1993","","","","","","",""
"BHS","1994","","","","","","",""
"BHS","1995","","","","","","",""
"BHS","1996","","","","","","",""
"BHS","1997","","","","","","",""
"BHS","1998","","","","","","",""
"BHS","1999","","","","","","",""
"BHS","2000","","","","","","",""
"BHS","2001","","","","","","",""
"BHS","2002","","","","","","",""
"BHS","2003","","","","","","",""
"BHS","2004","","","","","","",""
"BHS","2005","","","","","","",""
"BHS","2006","","","","","","",""
"BHS","2007","","","","","","",""
"BHS","2008","","","","","","",""
"BHS","2009","","","","","","",""
"BHS","2010","","","","","","",""
"BHS","2011","","","","","","",""
"BHS","2012","","","","","","",""
"BHS","2013","","","","","","",""
"BHS","2014","","","","","","",""
"BHS","2015","","","","","","",""
"BHS","2016","","","","","","",""
"BHS","2017","","","","","","",""
"BHS","2018","","","","","","",""
"BHS","2019","","","","","","",""
"BHS","2020","","","","","","",""
"BHS","2021","","","","","","",""
"BHS","2022","","","","","","",""
"BHS","2023","","","","","","",""
"BHS","2024","","","","","","",""
"BHS","2025","","","","","","",""
"BLZ","1960","","","","","","",""
"BLZ","1961","","","","","","",""
"BLZ","1962","","","","","","",""
"BLZ","1963","","","","","","",""
"BLZ","1964","","","","","","",""
"BLZ","1965","","","","","","",""
"BLZ","1966","","","","","","",""
"BLZ","1967","","","","","","",""
"BLZ","1968","","","","","","",""
"BLZ","1969","","","","","","",""
"BLZ","1970","","","","","","",""
"BLZ","1971","","","","","","",""
"BLZ","1972","","","","","","",""
"BLZ","1973","","","","","","",""
"BLZ","1974","","","","","","",""
"BLZ","1975","","","","","","",""
"BLZ","1976","","","","","","",""
"BLZ","1977","","","","","","",""
"BLZ","1978","","","","","","",""
"BLZ","1979","","","","","","",""
"BLZ","1980","","","","","","",""
"BLZ","1981","","","","","","",""
"BLZ","1982","","","","","","",""
"BLZ","1983","","","","","","",""
"BLZ","1984","","","","","","",""
"BLZ","1985","","","","","","",""
"BLZ","1986","","","","","","",""
"BLZ","1987","","","","","","",""
"BLZ","1988","","","","","","",""
"BLZ","1989","","","","","","",""
