"table","field","data_type","role","description","status"
"dim_country","iso3","text","dimension/key","From public Tableau data package","AVAILABLE"
"dim_country","country_name","text","dimension","From public Tableau data package","AVAILABLE"
"dim_country","region_lac","text","dimension","From public Tableau data package","AVAILABLE"
"dim_country","bolivia","integer","measure","From public Tableau data package","AVAILABLE"
"dim_indicator","indicator_code","text","dimension/key","From public Tableau data package","AVAILABLE"
"dim_indicator","policy_name","text","dimension","From public Tableau data package","AVAILABLE"
"dim_indicator","unit","decimal","measure","From public Tableau data package","AVAILABLE"
"dim_indicator","source_or_construction","text","dimension","From public Tableau data package","AVAILABLE"
"dim_indicator","policy_domain_key","text","dimension/key","From public Tableau data package","AVAILABLE"
"dim_indicator","available_in_panel","decimal","measure","From public Tableau data package","AVAILABLE"
"dim_indicator","non_missing_obs","integer","measure","From public Tableau data package","AVAILABLE"
"dim_policy_domain","policy_domain_key","text","dimension/key","From public Tableau data package","AVAILABLE"
"dim_policy_domain","policy_domain_name","text","dimension","From public Tableau data package","AVAILABLE"
"dim_policy_domain","description","text","dimension","From public Tableau data package","AVAILABLE"
"dim_time","year","integer","dimension/key","From public Tableau data package","AVAILABLE"
"dim_time","analysis_sample","integer","measure","From public Tableau data package","AVAILABLE"
"fact_data_quality","variable","text","dimension/key","From public Tableau data package","AVAILABLE"
"fact_data_quality","missing_pct","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_data_quality","non_missing_obs","integer","measure","From public Tableau data package","AVAILABLE"
"fact_data_quality","quality_domain","text","dimension","From public Tableau data package","AVAILABLE"
"fact_data_quality","status","text","dimension","From public Tableau data package","AVAILABLE"
"fact_informality","iso3","text","dimension/key","From public Tableau data package","AVAILABLE"
"fact_informality","year","integer","dimension/key","From public Tableau data package","AVAILABLE"
"fact_informality","labor_informality","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_informality","labor_informality_lag1","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_informality","informality_x_social_protection","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_labor","iso3","text","dimension/key","From public Tableau data package","AVAILABLE"
"fact_labor","year","integer","dimension/key","From public Tableau data package","AVAILABLE"
"fact_labor","unemployment","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_labor","employment","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_labor","labor_force_participation","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_labor","female_labor_participation","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_labor","male_labor_participation","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_labor","youth_unemployment","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_poverty","iso3","text","dimension/key","From public Tableau data package","AVAILABLE"
"fact_poverty","year","integer","dimension/key","From public Tableau data package","AVAILABLE"
"fact_poverty","monetary_poverty","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_poverty","extreme_poverty","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_poverty","poverty_gap","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_poverty","poverty_lag1","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_social_protection","iso3","text","dimension/key","From public Tableau data package","AVAILABLE"
"fact_social_protection","year","integer","dimension/key","From public Tableau data package","AVAILABLE"
"fact_social_protection","social_protection_coverage","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_social_protection","social_assistance_coverage_aspire","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_social_protection","social_insurance_coverage_aspire","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_social_protection","cash_transfer_coverage_aspire","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_social_protection","pension_coverage_aspire","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_social_protection","social_protection_adequacy_aspire","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_social_protection","public_transfer_benefit_q1_aspire","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_vulnerability","iso3","text","dimension/key","From public Tableau data package","AVAILABLE"
"fact_vulnerability","year","integer","dimension/key","From public Tableau data package","AVAILABLE"
"fact_vulnerability","structural_vulnerability_index","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_vulnerability","gini","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_vulnerability","gdp_per_capita","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_vulnerability","log_gdp_per_capita","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_vulnerability","gdp_per_capita_growth","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_vulnerability","population_total","decimal","measure","From public Tableau data package","AVAILABLE"
"fact_vulnerability","population_growth","decimal","measure","From public Tableau data package","AVAILABLE"
